year,Black Coal
2020,5090
2019,5178.586
2018,5265.346
2017,5387.13
2016,5563.096
2015,5706.062
2014,5548.985
2013,5439.605
2012,4750.311302
2011,4722.912
2010,4456.116
2009,4590.655
2008,4754.543
2007,4545.365
2006,4559.875
2005,4629.34
2004,4688.268
2003,4621
2002,4583
2001,4562
2000,4541
1999,4627
1998,4644
1997,4625
1996,4593
1995,4536
1994,4366
1993,4133
1992,3933
1991,3489
1990,3499
1989,3460
1988,3406
1987,3346
1986,3425
1985,3405
1984,3529
1983,3734
1982,3876
1981,4080
1980,4144
1979,3921
1978,3749
1977,3918
1976,3820
1975,3776
1974,3881
1973,4234
1972,4298
1971,3986
1970,4126
1969,4409
1968,4401
1967,4148
1966,4157
1965,4418
1964,4530
1963,4446
1962,4511
1961,4641
