year,Gas
2020,13335
2019,12966.669
2018,13096.103
2017,13157.506
2016,13467.641
2015,12734.943
2014,12659.459
2013,13131.706
2012,13273.21867
2011,13221.223
2010,13052.475
2009,13219.967
2008,13042.842
2007,13033.883
2006,13011.188
2005,13026.199
2004,13012.428
2003,13012
2002,13023
2001,13027
2000,13031
1999,13056
1998,13057
1997,13047
1996,13043
1995,13080
1994,13078
1993,13067
1992,13051
1991,13052
1990,13042
1989,13022
1988,12946
1987,12927
1986,12958
1985,0
1984,0
1983,0
1982,0
1981,0
1980,0
1979,0
1978,0
1977,0
1976,0
1975,0
1974,0
1973,0
1972,0
1971,0
1970,0
1969,0
1968,0
1967,0
1966,0
1965,0
1964,0
1963,0
1962,0
1961,0
