year,bituminous coal
2020,5597
2019,5504.951
2018,5373.345
2017,5479.132
2016,5574.761
2015,5607.453
2014,5616.736
2013,5551.853
2012,5057.470113
2011,5432.595
2010,5554.544
2009,5761.385
2008,4218.827
2007,5871.024
2006,5867.985
2005,5904.163
2004,5897.359
2003,6068
2002,6127
2001,6065
2000,6057
1999,5985
1998,6065
1997,6127
1996,6117
1995,6122
1994,6097
1993,5998
1992,5987
1991,6017
1990,5983
1989,6009
1988,5915
1987,5984
1986,5990
1985,5979
1984,6153
1983,6203
1982,0
1981,0
1980,0
1979,0
1978,0
1977,0
1976,0
1975,0
1974,0
1973,0
1972,0
1971,0
1970,0
1969,0
1968,0
1967,0
1966,0
1965,6645
1964,6716
1963,6739
1962,6700
1961,6700
